metric,actual_pa,null_mean,null_std,null_p2.5,null_p97.5,actual_vs_null,p_value
fluency2_raw,0.4729841586984444,0.4998977962596364,0.0054082752108376,0.4897784170559416,0.5094135397123877,below,1.0
chrf,0.4829196288709483,0.4992368315254984,0.0060727642465189,0.4872032245123168,0.5116654396188094,below,0.995
comet,0.470544775829218,0.5003343241966411,0.0069818155325723,0.4880159638994661,0.5147007235311677,below,1.0
bleu,0.48511818968002307,0.499375865196956,0.0077324101749545425,0.483961889217791,0.5132747483720166,below,0.96
