weight_id,w_idiomatic,w_collocational,w_discourse,w_pragmatic,w_calque,mean_test_spearman,std_test_spearman,mean_test_pairwise,std_test_pairwise,mean_train_spearman,std_train_spearman,mean_test_kendall
e68f5c867abcae09,0.0,0.0,0.0,1.0,0.0,0.040593712369021415,0.14620446014915012,0.4828867373531372,0.07055679486835685,0.25335938804656627,0.052021333407081836,0.03276612959454165
eabd8960eba49865,0.05,0.05,0.3,0.55,0.05,0.036442559927286566,0.1523565245371831,0.4810618116812153,0.06430025072555128,0.2661746595158457,0.0516864544248933,0.027628904421343605
b6667d6d3b56a7f0,0.05,0.05,0.25,0.6,0.05,0.03634871131304091,0.15177650093686265,0.4810419199244158,0.06434744600973923,0.2649357524280717,0.0516706417539751,0.027711246129255074
ef479cc17e80846c,0.05,0.05,0.2,0.65,0.05,0.03624411795864799,0.1508651738458328,0.48139036505386734,0.06428274686270212,0.26389612860409567,0.0516678977206543,0.027575366098404695
59551177966b3508,0.05,0.05,0.15,0.7,0.05,0.036213356885198764,0.14971602644141044,0.48120911149852,0.06439836020508016,0.2632557570062067,0.051631811791093205,0.027536690758338978
a91dcf4d75ff46c3,0.1,0.05,0.15,0.65,0.05,0.036140371463447805,0.150197823220413,0.48186563434191143,0.06423642275452629,0.26372403175315867,0.051566189075514274,0.027533299894472216
1a5d76670d2df2c3,0.1,0.05,0.2,0.6,0.05,0.0357450150134531,0.15135348130991416,0.4817356080001309,0.0642658727993788,0.2646573819421412,0.05161484399888099,0.02733527555192333
4c272a3f799886a1,0.05,0.05,0.35,0.5,0.05,0.0357000882491092,0.15331290076256043,0.4813460943249233,0.06413337132754833,0.2677906733411963,0.051653625344431395,0.02709611950587543
2b30e6c0260b839e,0.05,0.05,0.2,0.6,0.1,0.035677630875879766,0.15130221920508605,0.4813407572668664,0.0636151265224558,0.26487722034826816,0.05163917147410496,0.027181600668801844
2a57234a7383ff96,0.15,0.05,0.15,0.6,0.05,0.03561343967898859,0.15103737234062353,0.48169072910958616,0.064589450032503,0.26453743067619984,0.05151318919021969,0.027265044150464348
f9b012488c60def4,0.05,0.05,0.15,0.65,0.1,0.03551587542554901,0.15009054599823934,0.48186792484338387,0.0642282541635486,0.26384457329577365,0.051603760627368815,0.027006682544636552
023a2940a28ef89f,0.05,0.05,0.1,0.75,0.05,0.035464076210439455,0.14930202696564795,0.48145820420968266,0.06518188620259761,0.26328527304235033,0.05157232595019311,0.0270110818798901
6412d0787e0383ff,0.1,0.05,0.25,0.55,0.05,0.03538390725568048,0.15217667429629017,0.48165355590314457,0.06395126026230616,0.2656580862296731,0.05164173340622821,0.027050416459043977
d13d4f3c1a7560a7,0.15,0.05,0.2,0.55,0.05,0.0353640677960697,0.15215403339991415,0.48170085206304764,0.06452207569345297,0.2656176894806401,0.05154840137805717,0.027088230703782138
9b4ba7cdf035fa95,0.1,0.05,0.1,0.7,0.05,0.035357642004433545,0.1494712335127539,0.4820078111277601,0.06485322527950388,0.2632667611469323,0.051516892140906545,0.026941115256205073
3372def552428d26,0.1,0.05,0.3,0.5,0.05,0.03499272086518275,0.15315719297740366,0.48159410368491057,0.06416510181902318,0.26728244522149974,0.051624405303721754,0.026632055745012106
49fde53e4e54ff7d,0.1,0.05,0.15,0.6,0.1,0.0349820774362082,0.1509522241719665,0.4822294927797892,0.0642096153782612,0.26460752164343776,0.05154624146460359,0.02674653634486028
b7876eed514fd39c,0.05,0.05,0.25,0.55,0.1,0.03497429879275053,0.1521005016799462,0.48156313102862236,0.06358796979074745,0.26603459976625604,0.05166244622704054,0.02675312677110969
41baac3210391101,0.05,0.1,0.2,0.6,0.05,0.0349400433650595,0.1517252157306657,0.4807659983671575,0.06411431497885507,0.2653040109510659,0.05162659867971906,0.026727437994640228
d5d6fa56c3553f0a,0.2,0.05,0.15,0.55,0.05,0.03493831459295795,0.15181715355039102,0.48138507617600307,0.06483668460634812,0.26539290211347283,0.051472448109062395,0.02683820345480864
9a277471962037db,0.15,0.05,0.1,0.65,0.05,0.03491765584195037,0.14974887208650103,0.4819530716876374,0.0650832241892974,0.263612340941676,0.05146945049804883,0.026637308294973253
4a3a0b395198fc37,0.05,0.05,0.1,0.7,0.1,0.03472669570424985,0.14936544598885068,0.48181404106735765,0.06431158220828587,0.26313757781094427,0.0515465490086687,0.026442878640115988
